OBJECTID,Nombre del establecimiento educativo,Id del establecimiento educativo,NIT,Nombre de la sede educativa,Id de la sede educativa,Código de planta física,Fecha de la información,Dirección,Barrio,Teléfono,Email,Página web,Sector,Naturaleza Jurídica,Clase,Orden de la sede,Estado,Régimen y Categoría de Costos,Calendario,Género,Estrato,Zona,Nombre de la Localidad,Nombre UPL,Código UPL,Código UPZ,Nombre de la UPZ,Código Postal,Sector Censal,Especialidad para la Media,Carácter para la Media,Énfasis para el cáracter académico de la Media,Tipo de Discapacidad,Talentos o Capacidades Excepcionales,Grupos étnicos,Bilingue,Forma,coord_x,coord_y
2288,COLEGIO DIVINO MAESTRO (IED),111848002689,8001170006,SAN CRISTOBAL NORTE,111848000058,109,2024/12/31,KR 7 D # 163 A - 56,SAN CRISTOBAL NORTE,6698282,coldivinomaestro1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-divino-maestro-ied,Oficial,Oficial,Distrital,C,Antiguo Activo,,A,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,11,SAN CRISTOBAL NORTE,110131,8505,Sin información,Sin información,,INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS-TALENTO EXCEPCIONAL EN LIDERAZGO SOCIAL Y EMPRENDIMIENTO",AFRODESCENDIENTES-INDIGENAS,Sin Información,,"-74,0245399999433","4,739320000404277"
2291,COLEGIO CRISTOBAL COLON (IED),111848003031,8605322300,SORATAMA,111848000074,111,2024/12/31,CL 167 # 3 - 44,SORATAMA,6798412 -- 6782756,coldicristobalcolo1@educacionbogota.edu.co,,Oficial,Oficial,Distrital,C,Antiguo Activo,,A,Mixto,Sin estrato,URBANA,Usaquén,TOBERIN,26,11,SAN CRISTOBAL NORTE,110131,8504,Sin información,Sin información,,FISICA-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE",AFRODESCENDIENTES,Sin Información,,"-74,01929000018285","4,743450000504986"
2268,COLEGIO FRIEDRICH NAUMANN (IED),111001044806,830049093,FRIEDRICH NAUMANN,111001044806,123,2024/12/31,AK 7 # 171 B - 26,LA GRANJA NORTE,6682577,cedfriedrichnauma1@educacionbogota.edu.co,https://www.redacademica.edu.co/colegios/colegio-friedrich-naumann-ied,Oficial,Oficial,Distrital,A,Antiguo Activo,,A,Mixto,Estrato 2,URBANA,Usaquén,TOBERIN,26,10,LA URIBE,110141,8536,Académica,Académico,,AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE,"TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE",AFRODESCENDIENTES-INDIGENAS-NEGRITUDES,Sin Información,,"-74,02321000014771","4,749210000198098"
2349,COLEGIO EN-CONEXION NORTE,311001801135,8600073361,COLEGIO EN-CONEXION NORTE,311001801135,0,2024/12/31,CL 151 # 15 - 70,CEDRITOS,3124518242,bachillerato.adultos@colsubsidio.com,,No Oficial,Caja de Compensación,Privado,A,Nuevo Activo,LIBERTAD VIGILADA,A,Mixto,No indica estrato,URBANA,Usaquén,USAQUEN,25,13,LOS CEDROS,110131,8530,Académica,Académico,,,,,Sin Información,,"-74,04084999998969","4,732159999790531"
2352,COLEGIO SAN BENITO DE TIBATI,311769002214,8300360291,COLEGIO SAN BENITO DE TIBATI,311769002214,0,2024/12/31,KR 12 # 188 A - 65,SAN ANTONIO NORTE II SECTOR,6790200,vice.csbt@hotmail.com -- tibati.secretaria@hotmail.com - sociedadycultura.csbt@gmail.com  --  s.academica@csbt.edu.co,www.csbt.edu.co  --  www.sanbenitodetibati.edu.co,No Oficial,Comunidad Religiosa,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,9,VERBENAL,110141,8537,Académica,Académico,,AUDITIVA,,,Sin Información,,"-74,03342000013875","4,765909999938047"
2355,COLEGIO ANGLO AMERICANO,311848000308,8000166359,COLEGIO ANGLO AMERICANO,311848000308,0,2024/12/31,CL 170 # 8 - 80,LA GRANJA NORTE,6694181,secretariabachillerato@caa.edu.co  --  rectoria@angloamericanobogota.edu.co,www.angloamericanobogota.edu.co,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Sin estrato,URBANA,Usaquén,TOBERIN,26,10,LA URIBE,110141,8524,Académica,Académico,,-FISICA-INTELECTUAL-MULTIPLE-PSICOSOCIAL-,-OTRO,INDIGENAS,Sin Información,,"-74,02825999989163","4,750039999736388"
2361,COLEGIO SANTO TOMAS DE AQUINO,311848000618,8600209404,COLEGIO SANTO TOMAS DE AQUINO,311848000618,0,2024/12/31,KR 21 # 132 - 46,LA CALLEJA SANTACOLOMA,2581241/42 -- 2580010,colegio@santotomas.edu.co  --  secretariaacademica@santotomas.edu.co,www.santotomas.edu.co,No Oficial,Comunidad Religiosa,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Sin estrato,URBANA,Usaquén,USAQUEN,25,15,COUNTRY CLUB,110121,8401,Académica,Académico,,,CAPACIDADES EXCEPCIONALES-,,Sin Información,,"-74,04977000036808","4,717040000311752"
2366,COLEGIO DE NUESTRA SEÑORA DEL BUEN CONSEJO,311848000791,8600219487,COLEGIO DE NUESTRA SEÑORA DEL BUEN CONSEJO,311848000791,0,2024/12/31,CL 104 # 17 - 22,SANTA BIBIANA,2562963 -- 2364973,info@colbuenco.edu.co,www.colbuenco.edu.co,No Oficial,Comunidad Religiosa,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Sin estrato,URBANA,Usaquén,USAQUEN,25,16,SANTA BARBARA,110111,8412,Académica,Académico,,-INTELECTUAL-,,,Sin Información,,"-74,0490399997238","4,689970000366272"
2375,COLEGIO DE LA SALLE,311848002271,8600099850,COLEGIO DE LA SALLE,311848002271,0,2024/12/31,CL 170 # 12 - 10,SAN JOSE DE USAQUEN,6690052 -- 6789160,rectoria@colsalle.edu.co  --  secre-academica@colsalle.edu.co,www.colsalle.edu.co,No Oficial,Comunidad Religiosa,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Sin estrato,URBANA,Usaquén,TOBERIN,26,10,LA URIBE,110141,8529,Académica,Académico,,,,INDIGENAS,Sin Información,,"-74,0336999996229","4,74878999973829"
2302,JARDIN INFANTIL MI PATO CUA CUA,311001039402,8300214724,JARDIN INFANTIL MI PATO CUA CUA,311001039402,0,2024/12/31,KR 18 A # 104 - 45,SANTA BIBIANA,3103204419  --  2364368 -- 2561911 -- 4782452,mipatocuacua@hotmail.com --  academico@mipatocuacua.com - coordinacionmipatocuacua@hotmail.com,www.mipatocuacua.com,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,B,Mixto,Estrato 6,URBANA,Usaquén,USAQUEN,25,16,SANTA BARBARA,110111,8412,Sin información,Sin información,,,,,Sin Información,,"-74,05044999988533","4,690770000106277"
2303,LICEO ALTA BLANCA,311001041334,193173353,LICEO ALTA BLANCA,311001041334,0,2024/12/31,CL 157 # 7 H - 70,BARRANCAS NORTE,6720404  --  6703303  --  6701861,liceoaltablanca@etb.net.co  --  liceoaltablanca2014@gmail.com,www.liceoaltablanca.com,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,11,SAN CRISTOBAL NORTE,110131,8506,Académica,Académico,,,,,Sin Información,,"-74,02802999973788","4,733820000345662"
2304,JARDIN INFANTIL PEQUEÑOS ENCANTOS,311001042438,8001404162,JARDIN INFANTIL PEQUEÑOS ENCANTOS,311001042438,0,2024/12/31,CL 154 # 19 A - 29,ESTRELLA DEL NORTE,2584842 -- 2586986 -- 6152121,secretariageneral@pequenosencantos.edu.co  --  dianaramirezdirecciongeneral@gmail.com,www.pequenosencantos.net -- www.pequenosencantos.edu.co  --  www.pequenosencantos.edu.co,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 4,URBANA,Usaquén,TOBERIN,26,12,TOBERIN,110131,8519,Sin información,Sin información,,,,,Sin Información,,"-74,04469999963436","4,737539999938745"
2305,JARDIN INFANTIL Y GUARDERIA COLORIN COLORAN,311001044503,8600260042,JARDIN INFANTIL Y GUARDERIA COLORIN COLORAN,311001044503,0,2024/12/31,DG 107 # 6 - 50,SANTA ANA,4832779  --  2151162,colorincoloran@yahoo.com,www.colorincoloran.com,No Oficial,Privado - Régimen Especial,Privado - Régimen Especial,A,Antiguo Activo,LIBERTAD VIGILADA,A,Mixto,Estrato 4,URBANA,Usaquén,USAQUEN,25,14,USAQUEN,110111,8409,Sin información,Sin información,,,,,Sin Información,,"-74,03577000010853","4,686679999995649"
2311,COLEGIO MARCO AURELIO NUMERIANO,311001075522,8001351301,COLEGIO MARCO AURELIO NUMERIANO,311001075522,0,2024/12/31,KR 8 G BIS # 159 B - 91,BARRANCAS NORTE,6715602 -- 8144562,colegionumeriano@hotmail.com,,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,11,SAN CRISTOBAL NORTE,110131,8506,Sin información,Sin información,,,,,Sin Información,,"-74,03129000027698","4,737830000553483"
2312,COLEGIO WESLEYANO DEL NORTE,311001076031,9000093286,COLEGIO WESLEYANO DEL NORTE,311001076031,0,2024/12/31,CL 161 # 22 - 49,ESTRELLA DEL NORTE,6726929  --  6724831/87  --  6774515  --  6705159,colegiowesleyano@gmail.com -- marypabon@hotmail.com  --  msolpabon@gmail.com,www.cwn.edu.co,No Oficial,Comunidad Religiosa,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 4,URBANA,Usaquén,TOBERIN,26,12,TOBERIN,110131,8519,Académica,Académico,,-INTELECTUAL-MULTIPLE-,"-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO TECNOLOGICO, TALENTO EN CIENCIAS NATURALES, BASICAS O TECNOLOGIA-",INDIGENAS-NEGRITUDES,Sin Información,,"-74,04725999966641","4,741640000415741"
2315,GIMNASIO SAN ANGELO,311001079803,8000651769,GIMNASIO SAN ANGELO,311001079803,0,2024/12/31,CL 142 # 18 - 51 -- CL 142 # 17 A - 34,CEDRITOS,3932515  --  7030549,mariaisabelalvarez@gsa.edu.co  --  martha.bernal@gimnasiosanangelo.edu.co  --  c.academico@gimnasiosanangelo.edu.co,www.gimnasiosanangelo.edu.co,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 4,URBANA,Usaquén,USAQUEN,25,13,LOS CEDROS,110121,8512,Sin información,Sin información,,,,,Sin Información,,"-74,04587999964211","4,723990000350789"
2317,COLEGIO PIERRE DE FERMAT,311001087725,8001563440,COLEGIO PIERRE DE FERMAT,311001087725,0,2024/12/31,CL 153 # 7 B - 16,BARRANCAS NORTE,5260500 -- 6796050,colegiopierre@yahoo.com -- malunovoa@yahoo.com - jorgehquiceno@yahoo.com,www.colegiopierredefermat.co,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,11,SAN CRISTOBAL NORTE,110131,8507,Académica,Académico,,-INTELECTUAL-,,,Sin Información,,"-74,0260599997097","4,728490000079814"
2318,JARDIN INFANTIL CHARLY BROWN SAS,311001088985,9013606570,JARDIN INFANTIL CHARLY BROWN SAS,311001088985,0,2024/12/31,CL 159 # 21 B - 25,MAGDALA I ETAPA,6255829 -- 5263009 -- 2163101,diandy.424@hotmail.com,www.jardincharlieb.com,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 4,URBANA,Usaquén,TOBERIN,26,12,TOBERIN,110131,8519,Sin información,Sin información,,,,,Sin Información,,"-74,04724999962067","4,739420000032916"
2324,JARDIN INFANTIL AMIGOS PARA SIEMPRE,311001098336,354670106,JARDIN INFANTIL AMIGOS PARA SIEMPRE,311001098336,0,2024/12/31,CL 163 # 17 - 15,LAS ORQUIDEAS,6714064 -- 2454737 -- 2450552,amigosparasiempre11@hotmail.com,,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,11,SAN CRISTOBAL NORTE,110131,8505,Sin información,Sin información,,AUDITIVA-MULTIPLE-,"-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-",,Sin Información,,"-74,04092000030987","4,742200000208247"
2327,JARDIN INFANTIL CASITA FELIZ,311001101591,519247729,JARDIN INFANTIL CASITA FELIZ,311001101591,0,2024/12/31,CL 150 # 13 - 33,CAOBOS SALAZAR,5289305 -- 5284868,ma.alejandra.infante@gmail.com,www.jardininfantilcasitafeliz.com,No Oficial,Persona Natural,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 4,URBANA,Usaquén,USAQUEN,25,13,LOS CEDROS,110131,8508,Sin información,Sin información,,,,,Sin Información,,"-74,03658000022043","4,7296299999429685"
2330,GIMNASIO ALESSANDRO VOLTA,311001107289,8301291528,GIMNASIO ALESSANDRO VOLTA,311001107289,0,2024/12/31,CL 119 # 4 - 79,USAQUEN,7438850,rectoria@gimnasiovolta.edu.co  --  s-academica@gimnasiovolta.edu.co,www.gimnasiovolta.edu.co,No Oficial,Corporación,Privado,A,Antiguo Activo,LIBERTAD REGULADA,B,Mixto,Estrato 6,URBANA,Usaquén,USAQUEN,25,14,USAQUEN,110111,8407,Académica,Académico,,,,,Sin Información,,"-74,02791000008727","4,694220000346982"
2332,COLEGIO RETOS,311001107599,8300191920,COLEGIO RETOS,311001107599,0,2024/12/31,CL 127 B BIS # 21 - 41,LA CALLEJA,2586461 EXT 3  --  7942120 EXT 223,contacto@colegioretos.edu.co  --  secre_academica@colegioretos.edu.co,www.colegioretos.edu.co,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A - B,Mixto,Estrato 5,URBANA,Usaquén,USAQUEN,25,15,COUNTRY CLUB,110121,8401,Académica,Académico,,-FISICA-,,,Sin Información,,"-74,05127000004298","4,709649999924865"
2333,JARDIN INFANTIL PACO Y TUTI,311001108129,8300384206,JARDIN INFANTIL PACO Y TUTI,311001108129,0,2024/12/31,CL 147 # 7 - 52 PISO 2,CEDRO SALAZAR,6332920,coordinacion@showplace.com.co -- jardin@showplace.com.co,www.showplace.com.co,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 4,URBANA,Usaquén,USAQUEN,25,13,LOS CEDROS,110131,8508,Sin información,Sin información,,,,,Sin Información,,"-74,02731000003766","4,723300000578521"
2334,JARDIN INFANTIL STANFORD,311001108366,8000191029,JARDIN INFANTIL STANFORD,311001108366,0,2024/12/31,CL 134 A # 16 - 39,EL CONTADOR,6157434,acorrea@jardininfantilstanford.edu.co - luzm.pulido@interasesores.edu.co,www.jardininfantilstanford.edu.co,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 5,URBANA,Usaquén,USAQUEN,25,13,LOS CEDROS,110121,8514,Sin información,Sin información,,,,,Sin Información,,"-74,04408000039156","4,7178199999177"
2335,PREESCOLAR LOS ANDES,311001108641,8301208341,PREESCOLAR LOS ANDES,311001108641,0,2024/12/31,KR 18 A # 142 - 13,LOS CEDROS,2161720 -- 6250369 -- 2531063 -- 6250748,secretaria.cedritos@gimandes.edu.co  --  direccionpedagogica.pla@gimandes.edu.co --  secretaria@gimandes.edu.co,www.gimandes.edu.co,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 4,URBANA,Usaquén,USAQUEN,25,13,LOS CEDROS,110121,8515,Sin información,Sin información,,,,,Sin Información,,"-74,04541000018715","4,724190000441881"
2336,TALLER DE APRENDIZAJE Y JUEGO CASITA FELIZ,311001108790,8301143622,TALLER DE APRENDIZAJE Y JUEGO CASITA FELIZ,311001108790,0,2024/12/31,KR 23 # 187 - 82,MARANTA,5284868,tallerdeaprendizajeyjuego@lacasitafeliz.com,www.lacasitafeliz.com,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Mixto,Estrato 2,URBANA,Usaquén,TOBERIN,26,9,VERBENAL,110141,8527,Sin información,Sin información,,-MULTIPLE-,,,Sin Información,,"-74,04337999988451","4,764930000155593"
2337,EL FARO PREESCOLAR,311001108854,9000720519,EL FARO PREESCOLAR,311001108854,0,2024/12/31,KR 7 B # 138 - 05,VELMIRA,2582755,lighthousekinder@gmail.com,www.lighthousekinder.com,No Oficial,Corporación,Privado,A,Antiguo Activo,LIBERTAD REGULADA,B,Mixto,Estrato 4,URBANA,Usaquén,USAQUEN,25,13,LOS CEDROS,110121,8513,Sin información,Sin información,,,,,Sin Información,,"-74,03077999974074","4,715579999750472"
2343,QUALIA ALTERNATIVA EDUCATIVA,311001800081,9005164526,QUALIA ALTERNATIVA EDUCATIVA,311001800081,0,2024/12/31,KR 14 # 116 - 36,SANTA BARBARA CENTRAL,6016754628  --  3108126617,c.barrera@qualia.edu.co,www.qualia.edu.co,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD REGULADA,B,Mixto,Estrato 6,URBANA,Usaquén,USAQUEN,25,16,SANTA BARBARA,110111,8415,Académica,Académico,,-PSICOSOCIAL-,,,Sin Información,,"-74,04070000020184","4,696359999876317"
2345,COLEGIO ALEJANDRO MAGNO,311001800316,9011970108,COLEGIO ALEJANDRO MAGNO,311001800316,0,2024/12/31,KR 7 D BIS A # 158 - 08,BARRANCAS NORTE,3108089921,bachilleratovirtualinnovar@gmail.com,,No Oficial,Sociedad,Privado,A,Antiguo Activo,LIBERTAD VIGILADA,A - B,Mixto,Estrato 3,URBANA,Usaquén,TOBERIN,26,11,SAN CRISTOBAL NORTE,110131,8506,Académica,Académico,,AUDITIVA-INTELECTUAL-MULTIPLE-PSICOSOCIAL-,"-TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-",INDIGENAS-NEGRITUDES,Sin Información,,"-74,02571999995106","4,733380000456929"
2377,COLEGIO MARIA INMACULADA,311848002416,8605064299,COLEGIO MARIA INMACULADA,311848002416,0,2024/12/31,KR 7 # 166 - 71,SANTA TERESA,6711177 -- 6799708 -- 6799686,secretaria@colegiomariainmaculada.edu.co  --  rectoria@colegiomariainmaculada.edu.co,www.colegiomariainmaculada.edu.co,No Oficial,Comunidad Religiosa,Privado,A,Antiguo Activo,LIBERTAD REGULADA,A,Femenino,Estrato 3,URBANA,Usaquén,TOBERIN,26,11,SAN CRISTOBAL NORTE,110131,8503,Académica,Académico,,-INTELECTUAL-MULTIPLE-PSICOSOCIAL-,,INDIGENAS,Sin Información,,"-74,02248000040176","4,74463999975926"
